"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"","December 11, 1937","Langston University","https://en.wikipedia.org/wiki/Langston_University","Langston","https://en.wikipedia.org/wiki/Langston,_Oklahoma","Inactive","18","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:1-23","[","]","– 20xx ?","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Lambda Alpha"
"","","Bluefield State University","https://en.wikipedia.org/wiki/Bluefield_State_University","Bluefield","https://en.wikipedia.org/wiki/Bluefield,_West_Virginia","Inactive","","","","","193x ?–19xx ?","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Mu Alpha"
"Nu Alpha","March 26, 1938","Texas Southern University","https://en.wikipedia.org/wiki/Texas_Southern_University","Houston","https://en.wikipedia.org/wiki/Houston","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"","1937","Occidental College","https://en.wikipedia.org/wiki/Occidental_College","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","Inactive","28","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:9-41","[","]","–xxxx ?","California","https://en.wikipedia.org/wiki/California","Xi Alpha"
"Mu Nu","April 15, 1939","Wichita State University","https://en.wikipedia.org/wiki/Wichita_State_University","Friends University","https://en.wikipedia.org/wiki/Friends_University","Inactive","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","– 19xx ?","Wichita","https://en.wikipedia.org/wiki/Wichita,_Kansas","Omicron Alpha first"
"","June 14, 1965","Queens College","https://en.wikipedia.org/wiki/Queens_College,_City_University_of_New_York","St. John's University","https://en.wikipedia.org/wiki/St._John%27s_University_(New_York_City)","Inactive","o","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-44","[","]","– 2021 ?","Queens","https://en.wikipedia.org/wiki/Queens","Omicron Alpha"
"Pi Alpha","April 1939","LeMoyne–Owen College","https://en.wikipedia.org/wiki/LeMoyne%E2%80%93Owen_College","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","30","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:18-45","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Rho Alpha","February 26, 1947","Hampton University","https://en.wikipedia.org/wiki/Hampton_University","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Sigma Alpha","June 5, 1971","Kent State University","https://en.wikipedia.org/wiki/Kent_State_University","Kent","https://en.wikipedia.org/wiki/Kent,_Ohio","Active","31","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-46","[","]","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"Tau Alpha","December 27, 1939","University of Nebraska Omaha","https://en.wikipedia.org/wiki/University_of_Nebraska_Omaha","Omaha","https://en.wikipedia.org/wiki/Omaha,_Nebraska","Active","19","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:3-24","[","]","","Nebraska","https://en.wikipedia.org/wiki/Nebraska",""
"Upsilon Alpha","March 4, 1940","Huston–Tillotson University","https://en.wikipedia.org/wiki/Huston%E2%80%93Tillotson_University","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
